ID,Alias,Apellidos,Nombre,Dirección,Población,Teléfono,Móvil,Observaciones,Sexo,Fecha Nacimiento,Unnamed: 12,Hijos,Desempleado,Profesión,Nivel académico,Lengua usual,Ingresos mensuales,Ahorros,Peso Kg,Altura,Cabello,Ojos,Fumador,Salud,Afición1,Afición2,Característica1,Característica2,Valora1,Valora2,Fobias,Sexualidad,Disponible,REP_MAIL,test,Email_1,Email_2,Email_3
23,Caparranas,BLANCO FONTANET,DAVID-JESE,"JOAN SANMARTÍ , 12, 2N., 2A.",Lleida,937785655,632548744.0,,Hombre,1960-09-23,Caparranas,1.0,False,,Elementales,castellano,500,,61,1.57,Negro,Azules,False,Buena,Deporte,Lectura,Fortaleza,Romanticismo,Fortaleza,Buen Humor,,Bisexual,True,,,caparranas@altecom.es,,
24,Cara corta,ALVAREZ FERNÁNDEZ,ARAN,"PROL. PADRÓ , 1, 3R. 1A.",Madrid,938300385,632986321.0,,Hombre,1964-09-27,Cara corta,2.0,False,Taxista,Elementales,castellano,1400,,85,1.64,Castaño,Marrones,True,Buena,Deporte,Cine,Fortaleza,Ternura,Serenidad,Ternura,,Homosexual,True,,,,,
25,cariñosa,GARCIA ALMOGUERA,GEMMA,"SALLENT , 22, 2N.",Barcelona,936520471,647111021.0,,Mujer,1962-03-22,cariñosa,,False,,Bachillerato,catalán,1300,,75,1.69,Pelirrojo,Azules,False,Regular,TV,TV,Realismo,Fortaleza,Sinceridad,Sencillez,Los políticos,Bisexual,False,,,,,
26,Carretero,LIBORI FIGUERAS,IVAN,"JOAN MIRÓ , 3",Girona,936012445,625481111.0,,Hombre,1965-07-23,Carretero,0.0,False,,EGB,castellano,300,,88,1.56,Otros,Otro,True,Buena,Caminar,Cine,Ternura,Sinceridad,Buen Humor,Ternura,,No declarada,True,,,carretero@intercom.es,,
27,Cela,BIDAULT PUEYO,DAVID,"LLUÍS CASTELLS , 12, 2N.",Barcelona,934500611,,,Hombre,1969-05-13,Cela,,True,Oficial,EGB,francés,500,120300.0,102,1.57,Rubio,Otro,False,Regular,Caminar,Deporte,Realismo,Ternura,Alegría,Fortaleza,,Bisexual,True,,,cela@altecom.es,,
28,Coco,BENITEZ JOSE,XAVIER,"SANT VALENTÍ , 12, 1R.",Girona,937885544,,,Hombre,1966-05-17,Coco,2.0,False,Asesor/a fiscal,Elementales,catalán,1100,,69,1.73,Rubio,Azules,True,Regular,Deporte,,Alegría,Sinceridad,Sinceridad,Ternura,Viajar en avión,Heterosexual,False,,,coco@hotmail.com,,
29,Conejo,PASCUAL FLORES,MARIO,"ÀNGEL GUIMERÀ , 43, 2N",Girona,936512105,,,Hombre,1959-08-02,Conejo,1.0,False,,Elementales,castellano,900,,73,1.75,Castaño,Verdes,False,Fatal,Música,Deporte,Realismo,Alegría,Realismo,Sinceridad,,Heterosexual,True,,,conejo@minorisa.es,,
30,Corcel,AYALA TORNÉ,JESUS,"JAUME GALOBART , 11",Girona,938202200,,,Hombre,1959-01-04,Corcel,1.0,False,Dependiente/a,FP,catalán,0,,71,1.82,Negro,Marrones,False,Regular,TV,Caminar,Alegría,Sinceridad,Ternura,Sinceridad,,Homosexual,True,,,corcel@altecom.es,,
31,Cuca,LISTAN FIGUERAS,GEMMA,"AVINGUDA TRES , 3, 1R., 1A.",Madrid,939965585,,,Mujer,1968-11-29,Cuca,0.0,False,Arquitecto/a,FP,catalán,800,,77,1.81,Negro,Negros,False,Buena,TV,Cine,Realismo,Serenidad,Sinceridad,Inteligencia,,Homosexual,True,,,,,
32,Curie,RASERO GAVILAN,SILVIA,"JACINT VERDAGUER , 52, 2N., 1A.",Barcelona,936541235,648555214.0,,Mujer,1964-06-14,Curie,1.0,False,,Elementales,catalán,0,,104,1.62,Negro,Marrones,False,Buena,Deporte,Cine,Inteligencia,Ternura,Inteligencia,Fortaleza,Los huevos fritos,No declarada,True,,,curie@minorisa.es,,
33,Dalí,ARNALOT PUIG,ALBERT,"DIPUTACIÓ , 10",Lleida,938204054,621114452.0,,Hombre,1969-06-20,Dalí,,False,Profesor/a,Doctor/a,catalán,1200,,59,1.71,Pelirrojo,Verdes,True,Buena,Lectura,Cine,Sencillez,Ternura,Sinceridad,Buen Humor,,Bisexual,False,,,dalí@wandoo.es,,
34,Diamant,MOLINER GARRIDO,MARIA,"VIC , 39, 1R., 2A.",Tarragona,936584541,,,Mujer,1966-11-21,Diamant,1.0,True,Camarero/a,EGB,catalán,2400,15100.0,106,1.73,Pelirrojo,Azules,False,Buena,Deporte,Caminar,Ternura,Buen Humor,Fortaleza,Sinceridad,Barcelona,Heterosexual,False,,,,,
35,Dolça,GALOBART GARCIA,BERTA,"GERMAN DURAN , 21",Zaragoza,934111475,,,Mujer,1959-05-17,Dolça,,False,Contable,FP,castellano,1200,,58,1.71,Pelirrojo,Negros,True,Regular,Deporte,Caminar,Sinceridad,Buen Humor,Realismo,Serenidad,,Bisexual,False,,,dolça@cidet.com,,
36,Dorada,LÓPEZ GARRIGASSAIT,BERTA,"BELLAVISTA , 30",Zaragoza,935687444,,,Mujer,1965-07-11,Dorada,0.0,False,Administrativo/a,EGB,castellano,1400,,80,1.9,Otros,Verdes,False,Regular,TV,Caminar,Buen Humor,Realismo,Inteligencia,Alegría,Los coches,Bisexual,True,,,dorada@intercom.es,,
37,Elisa,SÁNCHEZ GÓMEZ,MIREIA,"NOU , 7, 2N.",Lleida,936658711,645874112.0,,Mujer,1962-12-09,Elisa,,False,Administrativo/a,Elementales,castellano,1200,,66,1.87,Rubio,Otro,True,Excelente,Deporte,TV,Fortaleza,Sinceridad,Ternura,Realismo,Los políticos,Homosexual,True,,,elisa@altecom.es,,
38,Encarna,ALAVEDRA SUNYÉ,GEMMA,"MANELIC , 1",Barcelona,938773941,632125482.0,,Mujer,1966-03-22,Encarna,1.0,False,Dependiente/a,Elementales,catalán,1000,,66,1.89,Otros,Negros,False,Regular,Lectura,Deporte,Fortaleza,Inteligencia,Sinceridad,Fortaleza,,No declarada,False,,,encarna@hotmail.com,,
39,entesa,ALIGUÉ BONVEHÍ,MARIA ISABEL,"DE LA PESCA , 1, 1R., 1A.",Lleida,938305295,,,Mujer,1967-02-22,entesa,0.0,True,Asesor/a fiscal,Bachillerato,castellano,0,62600.0,68,1.83,Pelirrojo,Otro,False,Buena,Lectura,Cine,Buen Humor,Serenidad,Inteligencia,Fortaleza,,Bisexual,False,,,entesa@altecom.es,,
40,Entierravivos,MAS FRANCH,TONI,"PIRINEUS , 34",Lleida,936524446,621445221.0,,Hombre,1969-07-24,Entierravivos,1.0,True,,EGB,catalán,0,54700.0,54,1.59,Otros,Marrones,False,Regular,TV,Música,Ternura,Sinceridad,Serenidad,Realismo,,No declarada,True,,,,,
41,Esportista,ALOY COMPTE,ALEJANDRO,"PROL. JACINT VERDAGUER , 1, 2N., 2A.",Madrid,938305551,,,Hombre,1958-08-23,Esportista,,False,,FP,catalán,1400,,78,1.78,Negro,Otro,False,Regular,Cine,TV,Fortaleza,Realismo,Sencillez,Serenidad,,Bisexual,True,,,,,
42,ET,ASENSIO VEGA,JOAN MARTÍ,"MALLORCA , 11",Zaragoza,938206097,,,Hombre,1957-12-16,ET,2.0,False,Taxista,Bachillerato,catalán,1300,,91,1.72,Rubio,Negros,True,Regular,Música,Música,Buen Humor,Serenidad,Realismo,Serenidad,,Bisexual,True,,,et@altecom.es,,
43,Europa,BIDAULT PÉREZ,INGRID,"SANT BENET , 12, 2N.",Lleida,934500644,,,Mujer,1967-03-20,Europa,0.0,False,,Licenciado/a,catalán,1200,,53,1.89,Castaño,Marrones,False,Buena,Caminar,Lectura,Romanticismo,Alegría,Fortaleza,Inteligencia,,Heterosexual,False,,,,,
44,expert,ALOY CODINACHS,OLIVER,"PROL. PADRÓ , 1, 2N., 2A.",Lleida,938305594,,,Hombre,1959-04-13,expert,1.0,False,Representante,Licenciado/a,castellano,1100,,79,1.66,Castaño,Negros,True,Fatal,Deporte,Cine,Fortaleza,Serenidad,Romanticismo,Sinceridad,Los huevos fritos,No declarada,True,,,,,
45,experta,ALTIMIRAS ARMENTEROS,SANDRA,"ARTÈS , 1, 2N., 2A.",Barcelona,938300422,,,Mujer,1960-01-23,experta,1.0,False,Camarero/a,EGB,castellano,1100,,110,1.6,Calvo,Verdes,False,Fatal,Deporte,Lectura,Ternura,Realismo,Romanticismo,Inteligencia,,Bisexual,True,,,experta@wandoo.es,,
46,F50,BELMONTE SÁNCHEZ,JORDI,"JOAN XXIII , 12, 1R, 2A.",Madrid,938350511,621455662.0,,Hombre,1966-07-16,F50,1.0,False,Enfermero/a,Diplomado/a,catalán,1500,,105,1.74,Castaño,Azules,False,Regular,Música,Música,Alegría,Ternura,Sinceridad,Ternura,Barcelona,Homosexual,False,,,f5@wandoo.es,,
47,Faja Ancha,BAJONA GARCIA,MARC,"BERTRAND I SERRA , 11, 3R.",Zaragoza,938727589,,,Hombre,1968-02-25,Faja Ancha,2.0,False,,Elementales,catalán,1300,,60,1.7000000000000002,Rubio,Verdes,False,Buena,Música,Lectura,Ternura,Sinceridad,Serenidad,Realismo,Los niños,Homosexual,True,,,,,
48,Fara,AGUILAR RODRIGUEZ,JORDINA,"LA SARDANA , 1",Barcelona,938208488,,,Mujer,1962-08-17,Fara,,False,Contable,Bachillerato,catalán,600,,87,1.59,Calvo,Marrones,False,Buena,TV,Música,Buen Humor,Fortaleza,Ternura,Inteligencia,Los coches,Heterosexual,False,,,,,
49,Fina,BARRIGA SOTO,MARIA JOSÉ,"GALILEU , 12",Tarragona,938320587,,,Mujer,1961-07-16,Fina,2.0,False,,Elementales,inglés,1100,,70,1.87,Otros,Negros,True,Regular,Música,Caminar,Sinceridad,Realismo,Ternura,Inteligencia,,Homosexual,False,,,fina@hotmail.com,,
50,Fuego,AVILA MASJUAN,RAQUEL,"SANT VALENTÍ , 11",Girona,938203095,658954422.0,,Mujer,1964-01-23,Fuego,0.0,False,Comercial,Elementales,castellano,600,,70,1.78,Negro,Otro,False,Regular,Lectura,,Sinceridad,Alegría,Sencillez,Sinceridad,,No declarada,True,,,fuego@altecom.es,,
51,Galgo,PARRAMON FLORES,ENRIC,"JOAN XXIII , 43",Barcelona,934555455,,,Hombre,1963-08-29,Galgo,0.0,False,Dependiente/a,EGB,castellano,1000,,78,1.86,Castaño,Otro,True,Regular,Lectura,Caminar,Fortaleza,Realismo,Alegría,Ternura,,Homosexual,True,,,,,
52,Garota,AGUILAR RAMOS,MARTA,"DE LA PAU , 1",Tarragona,938208502,,,Mujer,1961-02-19,Garota,2.0,False,Recepcionista,EGB,castellano,400,,62,1.65,Otros,Otro,False,Buena,Caminar,Música,Sencillez,Romanticismo,Romanticismo,Sencillez,,Homosexual,False,,,garota@hotmail.com,,
53,gata,AYALA ALSINA,CARLA,"SANT ANTONI MARIA CLARET , 11",Zaragoza,938205245,,,Mujer,1959-04-20,gata,,False,Administrativo/a,EGB,catalán,800,,103,1.73,Otros,Verdes,True,Buena,TV,Lectura,Inteligencia,Sinceridad,Fortaleza,Sencillez,,Heterosexual,False,,,,,
54,Gateta,ALVAREZ TROYANO,MARIA NOELIA,"AVINGUDA TRES , 1, 3R., 1A.",Tarragona,938300374,,,Mujer,1964-10-20,Gateta,0.0,False,Enfermero/a,Bachillerato,castellano,1200,,66,1.56,Rubio,Azules,False,Buena,Caminar,TV,Buen Humor,Ternura,Buen Humor,Sinceridad,,Heterosexual,False,,,gateta@cataloniamail.com,,
55,Gioconda,ALINS GONZÁLEZ,CRISTINA,"PROL. PADRÓ , 1, 2N., 1A.",Barcelona,938305576,652148555.0,,Mujer,1960-03-27,Gioconda,1.0,False,,Bachillerato,castellano,1200,,102,1.67,Negro,Azules,False,Regular,Caminar,Música,Ternura,Buen Humor,Serenidad,Realismo,,Heterosexual,True,,,,,
56,Groucho,ACUÑA TORT,CARLOS,"SANT JOAN , 0, C, 3R. A",Valencia,938208614,,,Hombre,1960-09-09,Groucho,1.0,False,,Licenciado/a,catalán,1000,,79,1.82,Rubio,Negros,False,Buena,Cine,Deporte,Buen Humor,Ternura,Serenidad,Realismo,Viajar en avión,Homosexual,True,,,groucho@intercom.es,,
57,Harpo,ALGUÉ TRANCHO,DAVID,"PROL. JACINT VERDAGUER , 1, 1R., 1A.",Madrid,938770077,,,Hombre,1966-11-03,Harpo,1.0,True,Funcionario/a,Diplomado/a,inglés,3000,62000.0,82,1.7000000000000002,Castaño,Marrones,False,Regular,Lectura,Música,Fortaleza,Alegría,Ternura,Alegría,Viajar en avión,Heterosexual,True,,,harpo@hotmail.com,,
58,Hispa,BADIA CASTILLO,CRISTIAN,"JOAN XXIII , 11, 1R., 1A.",Girona,938200713,,,Hombre,1960-02-23,Hispa,1.0,False,Oficial,EGB,catalán,300,,103,1.7000000000000002,Rubio,Marrones,True,Regular,Música,Deporte,Realismo,Sencillez,Inteligencia,Sinceridad,,Heterosexual,True,,,hispa@cataloniamail.com,,
59,Hojalatero,BENITEZ FLORES,JULIO ALBERTO,"LLUÍS CASTELLS , 12, 1R.",Barcelona,938270685,625477881.0,,Hombre,1962-10-20,Hojalatero,,False,Representante,EGB,castellano,300,,54,1.65,Negro,Negros,False,Fatal,Caminar,Lectura,Sencillez,Realismo,Ternura,Alegría,,Bisexual,False,,,,,
60,Huevo,TORRUELLA GARCIA,SERGI,"PADRÓ , 83",Zaragoza,936021048,,,Hombre,1969-05-26,Huevo,,False,Estudiante,Diplomado/a,catalán,400,,66,1.79,Negro,Verdes,True,Buena,Lectura,Caminar,Inteligencia,Sinceridad,Serenidad,Fortaleza,,Bisexual,True,,,huevo@terra.es,,
61,James Dean,ALBERICH RODRIGUEZ,ALEIX,"SANT ISCLE , 1",Tarragona,938773933,648555552.0,,Hombre,1966-05-12,James Dean,2.0,False,,Doctor/a,gallego,500,,64,1.7000000000000002,Calvo,Negros,False,Buena,Caminar,TV,Realismo,Ternura,Buen Humor,Realismo,Los entierros,No declarada,True,,,james dean@intercom.es,,
62,Jéssica,ARMENCOT PUIG,VERÒNICA,"MONTSERRAT , 10",Zaragoza,938206766,690254111.0,,Mujer,1960-08-30,Jéssica,1.0,False,Camarero/a,EGB,catalán,1000,,104,1.84,Calvo,Azules,True,Buena,Caminar,Música,Serenidad,Sencillez,Romanticismo,Sinceridad,Las ciudades,No declarada,True,,,jéssica@hotmail.com,,
63,Julia,ALIGUÉ RIVERA,MARIONA,"PROL. JACINT VERDAGUER , 1, 1R., 2A.",Zaragoza,938305223,,,Mujer,1962-06-02,Julia,,False,Oficial,EGB,euskara,700,,48,1.81,Calvo,Azules,False,Regular,Cine,,Fortaleza,Buen Humor,Fortaleza,Alegría,Los perros,Homosexual,True,,,,,
64,Julio,BARRIGA RIU,MARC,"TRABUCAIRES , 12",Zaragoza,938325565,,,Hombre,1959-08-02,Julio,1.0,False,Comercial,Bachillerato,catalán,1400,,89,1.81,Rubio,Negros,False,Buena,Deporte,Música,Alegría,Fortaleza,Sencillez,Realismo,,Homosexual,True,,,,,
65,Lali,PORTELLA GISPETS,GEMMA,"JACINT VERDAGUER , 49, 4T., 2A.",Girona,936565448,632587441.0,,Mujer,1966-09-06,Lali,1.0,True,Diseñador/a,EGB,castellano,1500,18100.0,98,1.56,Otros,Marrones,False,Buena,Lectura,Cine,Sinceridad,Serenidad,Alegría,Sinceridad,,Heterosexual,True,,,,,
66,libero,AGUILERA BAENA,RICARD,"MANELIC , 1",Madrid,938208360,,,Hombre,1963-02-20,libero,,False,,Diplomado/a,francés,1500,,82,1.74,Negro,Verdes,False,Fatal,Caminar,TV,Buen Humor,Ternura,Sencillez,Realismo,,Heterosexual,False,,,,,
67,Llus,RODRIGUEZ GARCÍA,JUAN,"VERGE DE FÀTIMA , 6, BX., 2A.",Madrid,936549889,602412052.0,,Hombre,1962-07-20,Llus,,False,Dependiente/a,EGB,inglés,500,,94,1.6,Calvo,Otro,True,Buena,Caminar,Música,Buen Humor,Sinceridad,Sinceridad,Fortaleza,,Heterosexual,False,,,llus@hotmail.com,,
68,Loli,AGUILAR SUNYÉ,MARTA,"SANT JOAN , 0, D, 3R. A",Tarragona,938208677,,,Mujer,1960-11-27,Loli,,False,,Elementales,castellano,0,,91,1.73,Calvo,Verdes,False,Buena,Cine,Lectura,Sencillez,Serenidad,Buen Humor,Sencillez,Los hospitales,Heterosexual,True,,,,,
69,Madonna,BARRIGA TARDÀ,NATÀLIA,"GALILEU , 12",Madrid,938325558,,,Mujer,1959-11-18,Madonna,1.0,False,Delineante,Bachillerato,castellano,1100,,95,1.86,Calvo,Otro,True,Regular,TV,Lectura,Sencillez,Romanticismo,Realismo,Inteligencia,Los hospitales,No declarada,False,,,madonna@wandoo.es,,
70,Mata Hari,BARCONS LARA,MARTA,"ESPORTS , 12",Barcelona,938360281,,,Mujer,1968-10-25,Mata Hari,0.0,False,Comercial,EGB,catalán,3000,,110,1.88,Otros,Otro,False,Regular,Música,Deporte,Fortaleza,Sencillez,Buen Humor,Fortaleza,,Heterosexual,True,,,mata hari@intercom.es,,
71,Melanie,AGUILERA TATJÉ,LAURA,"JOSEP BOIXADERAS , 1",Valencia,938208380,625411014.0,,Mujer,1963-02-10,Melanie,1.0,False,,EGB,castellano,700,,96,1.89,Castaño,Azules,False,Regular,Caminar,Lectura,Fortaleza,Sencillez,Alegría,Fortaleza,,Homosexual,True,,,melanie@minorisa.es,,
72,Melquíades,ALEU PRAT,JOAN,"CERVANTES , 1, 1R.",Girona,938770878,,,Hombre,1969-02-02,Melquíades,2.0,False,,EGB,catalán,1500,,93,1.83,Calvo,Azules,False,Buena,Cine,TV,Alegría,Realismo,Romanticismo,Sinceridad,,Heterosexual,True,,,melquíades@hotmail.com,,
73,Merche,VALLÉS GIRVENT,ALEXIA,"CERVANTES , 9, 1R.",Valencia,936874511,654822414.0,,Mujer,1964-03-16,Merche,0.0,True,Contable,Diplomado/a,catalán,600,39700.0,53,1.67,Calvo,Azules,False,Regular,Música,Cine,Fortaleza,Alegría,Sinceridad,Serenidad,Los perros,Heterosexual,True,,,merche@terra.es,,
74,Midas,MOLINA GARRIDO,FERRAN,"JOAN XXIII , 39",Girona,936548745,698774444.0,,Hombre,1964-06-21,Midas,0.0,True,Dependiente/a,EGB,castellano,500,36100.0,59,1.81,Calvo,Otro,True,Excelente,Música,Caminar,Buen Humor,Realismo,Fortaleza,Serenidad,Los perros,Homosexual,False,,,midas@cataloniamail.com,,
75,Mona lisa,ARISSA HERMOSO,CRISTINA,"DOCTOR BARNARD , 10",Tarragona,938755512,602111254.0,,Mujer,1957-11-19,Mona lisa,,False,,Bachillerato,catalán,1000,,75,1.74,Castaño,Azules,False,Buena,Deporte,Cine,Ternura,Sinceridad,Buen Humor,Sencillez,,No declarada,False,,,mona lisa@minorisa.es,,
76,Moro,BARALDÉS PARDO,JOSÉ ANTONIO,"ESPORTS , 12",Barcelona,938722096,,,Hombre,1966-11-30,Moro,0.0,False,Asesor/a fiscal,Elementales,catalán,1500,,97,1.59,Calvo,Otro,True,Regular,Música,Cine,Realismo,Sinceridad,Romanticismo,Alegría,,No declarada,True,,,moro@minorisa.es,,
77,Mozart,SUAREZ GARZÓN,JORDI,"DE LA PAU , 8",Valencia,934512544,,,Hombre,1960-09-03,Mozart,1.0,False,Taxista,EGB,catalán,1600,,108,1.85,Castaño,Negros,False,Regular,Lectura,Deporte,Serenidad,Fortaleza,Serenidad,Romanticismo,,Heterosexual,True,,,mozart@wandoo.es,,
78,Nadadora,ARPA MORENO,BEGONYA,"SANT VALENTÍ , 11",Lleida,938205011,,,Mujer,1964-10-28,Nadadora,1.0,False,Dependiente/a,Elementales,gallego,800,,106,1.8,Castaño,Verdes,True,Buena,Música,TV,Alegría,Romanticismo,Serenidad,Fortaleza,,Bisexual,True,,,,,
79,Nalga,ALOY FARRANDO,INGRID,"PROL. PADRÓ , 1, 2N., 2A.",Barcelona,938300864,,,Mujer,1959-04-14,Nalga,1.0,False,Representante,EGB,gallego,0,,93,1.82,Pelirrojo,Otro,False,Regular,TV,Lectura,Inteligencia,Buen Humor,Sencillez,Inteligencia,,Bisexual,True,,,,,
80,Napoleon,LUQUE GARRIGASAIT,MIQUEL,"VIC , 30 (TORROELLA)",Lleida,933256844,625401445.0,,Hombre,1967-09-20,Napoleon,0.0,False,Taxista,Licenciado/a,catalán,1000,,93,1.64,Rubio,Azules,False,Buena,Caminar,Cine,Alegría,Inteligencia,Sencillez,Realismo,,Heterosexual,False,,,napoleon@cidet.com,,
81,Orondo,RIDÓ GÓMEZ,AGUSTÍ,"SANT ISCLE , 6",Tarragona,936528779,,,Hombre,1966-05-24,Orondo,2.0,False,Contable,FP,castellano,1000,,79,1.59,Pelirrojo,Negros,False,Regular,Cine,Caminar,Sinceridad,Ternura,Sinceridad,Buen Humor,Los fumadores,Bisexual,True,,,orondo@altecom.es,,
82,Papagayo,SANTAMARIA FLOTATS,ANTONI,"JAUME BALMES , 70, 3R, 1A.",Girona,931021886,,,Hombre,1967-05-31,Papagayo,,True,Profesor/a,EGB,catalán,400,95000.0,89,1.84,Otros,Otro,False,Buena,Caminar,Cine,Ternura,Romanticismo,Sinceridad,Inteligencia,Los niños,Homosexual,True,,,papagayo@altecom.es,,
83,Paseante,HERMS GÓMEZ,JOAN,"GERMAN DURAN , 27, 3R., 1A.",Zaragoza,936201457,658955442.0,,Hombre,1958-10-21,Paseante,1.0,False,Camarero/a,EGB,francés,0,,81,1.71,Pelirrojo,Otro,True,Buena,Música,TV,Sinceridad,Buen Humor,Realismo,Romanticismo,,Heterosexual,False,,,,,
84,Pasión,ARTIGAS MATURANO,MÒNICA,"SANT JOAN , 11",Lleida,938207515,,,Mujer,1959-10-03,Pasión,3.0,False,Funcionario/a,EGB,catalán,1400,,100,1.86,Otros,Otro,False,Regular,Cine,Lectura,Ternura,Sencillez,Alegría,Ternura,Los entierros,Heterosexual,True,,,pasión@altecom.es,,
85,Pato,AGUILAR MASANA,GERARD,"PUIG , 1",Madrid,938208558,,,Hombre,1961-05-23,Pato,2.0,False,Arquitecto/a,Elementales,castellano,300,,83,1.84,Rubio,Marrones,True,Fatal,Música,Cine,Ternura,Sinceridad,Buen Humor,Ternura,,No declarada,True,,,,,
86,Pelusa,ALTIMIRAS SERAROLS,GEMMA,"PROL. JACINT VERDAGUER , 1, 2N., 2A.",Valencia,938300496,,,Mujer,1961-01-16,Pelusa,4.0,False,Funcionario/a,Bachillerato,catalán,1300,,89,1.76,Calvo,Azules,False,Buena,Caminar,TV,Serenidad,Inteligencia,Sinceridad,Ternura,Los dibujos animados,Homosexual,True,,,pelusa@hotmail.com,,
87,Perla,TORRESCASANA GARCIA,MARIA,"RAMON I CAJAL , 81, 2N.",Lleida,930120545,625458445.0,,Mujer,1957-10-29,Perla,,False,Asesor/a fiscal,FP,catalán,4000,,63,1.77,Pelirrojo,Negros,True,Excelente,Caminar,Música,Realismo,Sencillez,Serenidad,Realismo,Los niños,Heterosexual,True,,,perla@cataloniamail.com,,
